Designator,Mid X,Mid Y,Rotation,Layer
C1,152.8,-36.56,90.0,top
C10,142.73,-34.21,90.0,top
C11,131.94,-36.48,180.0,top
C12,145.05,-41.47,0.0,top
C13,132.96,-41.47,180.0,top
C14,140.66,-47.01,270.0,top
C15,144.43,-37.06,0.0,top
C16,144.43,-36.08,0.0,top
C17,113.25,-42.73,0.0,top
C18,53.108677,-90.33468,180.0,top
C19,71.808677,-90.33468,180.0,top
C2,147.59,-36.56,90.0,top
C20,86.608677,-90.33468,180.0,top
C21,105.308677,-90.33468,180.0,top
C22,117.5875,-103.08468,180.0,top
C23,136.2875,-103.08468,180.0,top
C24,130.3375,-158.08468,180.0,top
C25,149.0375,-158.08468,180.0,top
C26,155.8375,-90.33468,180.0,top
C27,174.5375,-90.33468,180.0,top
C28,187.3565,-77.58468,180.0,top
C29,206.0565,-77.58468,180.0,top
C3,135.831837,-49.070659,225.0,top
C30,220.7535,-71.20968,180.0,top
C31,239.4535,-71.20968,180.0,top
C32,253.7535,-71.20968,180.0,top
C33,272.4535,-71.20968,180.0,top
C34,152.65,-127.33468,180.0,top
C35,171.35,-127.33468,180.0,top
C36,184.68795,-114.08468,180.0,top
C37,203.38795,-114.08468,180.0,top
C38,218.669226,-107.20968,180.0,top
C39,237.369226,-107.20968,180.0,top
C4,140.79,-49.47,315.0,top
C40,253.7535,-107.20968,180.0,top
C41,272.4535,-107.20968,180.0,top
C42,159.025,-56.33468,180.0,top
C43,177.725,-56.33468,180.0,top
C44,198.537966,-45.475883,180.0,top
C45,217.237966,-45.475883,180.0,top
C46,184.120719,-152.58468,180.0,top
C47,202.820719,-152.58468,180.0,top
C48,92.983677,-58.466053,180.0,top
C49,111.683677,-58.466053,180.0,top
C5,132.46,-28.28,0.0,top
C50,231.0,-30.335,90.0,top
C51,238.5,-30.335,90.0,top
C52,246.0,-30.335,90.0,top
C53,253.5,-30.335,90.0,top
C6,137.66,-32.19,90.0,top
C7,141.65,-47.01,270.0,top
C8,141.72,-34.21,90.0,top
C9,138.68,-32.19,90.0,top
D1,53.108677,-88.08468,0.0,top
D10,174.5375,-88.08468,0.0,top
D11,187.3565,-75.33468,0.0,top
D12,206.0565,-75.33468,0.0,top
D13,220.7535,-68.95968,0.0,top
D14,239.4535,-68.95968,0.0,top
D15,253.7535,-68.95968,0.0,top
D16,272.4535,-68.95968,0.0,top
D17,152.65,-125.08468,0.0,top
D18,171.35,-125.08468,0.0,top
D19,184.68795,-111.83468,0.0,top
D2,71.808677,-88.08468,0.0,top
D20,203.38795,-111.83468,0.0,top
D21,218.669226,-104.95968,0.0,top
D22,237.369226,-104.95968,0.0,top
D23,253.7535,-104.95968,0.0,top
D24,272.4535,-104.95968,0.0,top
D25,159.025,-54.08468,0.0,top
D26,177.725,-54.08468,0.0,top
D27,198.537966,-43.225883,0.0,top
D28,217.237966,-43.225883,0.0,top
D29,184.120719,-150.33468,0.0,top
D3,86.608677,-88.08468,0.0,top
D30,202.820719,-150.33468,0.0,top
D31,92.983677,-56.216053,0.0,top
D32,111.683677,-56.216053,0.0,top
D33,228.5,-30.335,0.0,top
D34,236.0,-30.335,0.0,top
D35,243.5,-30.335,0.0,top
D36,251.0,-30.335,0.0,top
D37,149.07,-31.66,270.0,top
D4,105.308677,-88.08468,0.0,top
D5,117.5875,-100.83468,0.0,top
D6,136.2875,-100.83468,0.0,top
D7,130.3375,-155.83468,0.0,top
D8,149.0375,-155.83468,0.0,top
D9,155.8375,-88.08468,0.0,top
DS1,64.200101,-55.085,0.0,top
F1,118.87,-161.635,0.0,top
F2,205.13,-168.635,180.0,top
R1,143.41,-26.385,270.0,top
R10,110.83,-39.53,0.0,top
R11,151.11,-31.22,270.0,top
R12,205.13,-166.135,0.0,top
R13,205.13,-164.135,180.0,top
R2,154.65,-26.385,90.0,top
R3,125.33,-36.34,90.0,top
R4,122.46,-29.78,180.0,top
R5,139.160624,-47.820624,315.0,top
R6,139.69,-33.22,90.0,top
R7,140.72,-33.22,270.0,top
R8,118.87,-166.135,0.0,top
R9,118.87,-164.135,180.0,top
SW1,120.3,-49.2,90.0,top
SW10,139.6875,-155.83468,0.0,top
SW11,165.1875,-88.08468,0.0,top
SW12,196.7065,-75.33468,0.0,top
SW13,230.1035,-68.95968,0.0,top
SW14,263.1035,-68.959679,0.0,top
SW15,162.0,-125.08468,0.0,top
SW16,194.037951,-111.834681,0.0,top
SW17,228.019227,-104.959681,0.0,top
SW18,263.1035,-104.959679,0.0,top
SW19,168.375,-54.08468,0.0,top
SW2,127.75,-49.2,90.0,top
SW20,207.887966,-43.225883,0.0,top
SW21,193.470719,-150.33468,0.0,top
SW22,102.333677,-56.216053,0.0,top
SW23,175.35,-24.535,180.0,top
SW24,188.0,-24.535,180.0,top
SW25,202.6,-24.535,180.0,top
SW26,86.78,-42.35,180.0,top
SW27,267.0,-30.335,0.0,top
SW3,52.500101,-30.335,0.0,top
SW4,68.500101,-30.335,0.0,top
SW5,84.500101,-30.335,0.0,top
SW6,100.500101,-30.335,0.0,top
SW7,62.458677,-88.08468,0.0,top
SW8,95.958677,-88.08468,0.0,top
SW9,126.9375,-100.83468,0.0,top
U1,150.1925,-36.09,0.0,top
U2,128.72,-31.685,270.0,top
U3,139.0,-40.2575,0.0,top
U4,113.9025,-40.48,0.0,top
USB1,149.03,-25.11,180.0,top
USB2,113.7,-165.135,270.0,top
USB3,210.3,-165.135,90.0,top
Y1,138.394471,-50.23239,315.0,top
